Story ID,Epic,Summary,User Story,Why,Acceptance Criteria,Requirement Ref,Phase,Priority,Owner,Target Week,Week Starting,Sprint,Days,Depends On,Status
BNPL-011,E02,Write incremental migration and data backfill scripts,"As a developer, I want historical data migrated without loss, so that the existing system's bookings and payments survive the refactor.",The existing system's bookings and payments survive the refactor,"1. Operator entities are created from existing operator profiles | 2. Given a historical booking with dates in booking_details, when the backfill runs, then service_start_at and service_end_at are populated | 3. Given a booking whose dates cannot be parsed, when the backfill runs, then it is written to an exception table rather than guessed | 4. Payment schedules are generated from existing deadlines and deposit values",5.5,P0,P0,A,4,2026-09-21,Sprint 2,2.0,BNPL-010,To Do
BNPL-012,E02,Rehearse the migration against a production-sized snapshot,"As a team lead, I want evidence that the migration is safe and a known cutover duration, so that we are not discovering migration problems during go-live.",We are not discovering migration problems during go-live,1. Row counts per table before and after match or the difference is explained | 2. Referential integrity passes after constraints are applied | 3. Execution time is recorded and establishes the cutover window | 4. The count of unparseable bookings is recorded and is a release gate,10.2.7,P0,P0,A,5,2026-09-28,Sprint 3,1.0,BNPL-011,To Do
BNPL-013,E02,Generate availability rows on a rolling horizon,"As a operator, I want availability rows created automatically for future dates, so that I do not have to configure every future date by hand.",I do not have to configure every future date by hand,"1. A nightly job extends availability 180 days forward from the listing default daily quantity | 2. Given a date has no availability row, when a customer tries to book it, then it is treated as unavailable | 3. Given an operator has blocked a date, when the horizon job runs, then the block is preserved",FR-INV-001,P1,P0,B,3,2026-09-14,Sprint 2,1.0,BNPL-010,To Do
BNPL-014,E03,Add idempotency to booking and payment endpoints,"As a customer, I want a repeated submission not to create a second booking, so that a slow network or a double tap does not cost me twice.",A slow network or a double tap does not cost me twice,"1. Given the same idempotency key is submitted twice, when the second request arrives, then the original response is returned | 2. Idempotency records expire automatically after 24 hours | 3. Given no key is supplied on a write endpoint, when the request arrives, then it is rejected with a clear error",FR-REL-001,P1,P0,A,4,2026-09-21,Sprint 2,1.0,BNPL-008,To Do
BNPL-015,E03,Build the Stripe webhook receiver,"As a platform, I want payment callbacks verified, persisted and processed asynchronously, so that no payment is lost and no event is processed twice.",No payment is lost and no event is processed twice,"1. Signature is verified against the raw request body before any parsing | 2. Given a duplicate event id, when it is received, then the unique constraint prevents reprocessing and 200 is returned | 3. The endpoint returns 200 before business processing occurs | 4. Given the worker processes the event, when it completes, then the payment schedule is marked paid",FR-REL-002,P1,P0,A,6,2026-10-05,Sprint 3,1.5,BNPL-008,To Do
BNPL-016,E03,Add the payment reconciliation sweep,"As a finance owner, I want pending payments checked against the gateway, so that a lost callback does not leave a paid booking marked unpaid.",A lost callback does not leave a paid booking marked unpaid,"1. A scheduled job polls payments approaching their due date and queries Stripe directly | 2. Given the gateway reports paid but the local record does not, when the sweep runs, then the local record is corrected and logged | 3. Every correction is written to the audit log",FR-REL-002,P1,P0,A,8,2026-10-19,Sprint 4,1.0,BNPL-015,To Do
BNPL-017,E03,Make scheduled tasks safe and observable,"As a operator, I want scheduled jobs that run exactly once and log their outcome, so that expired bookings are never cancelled twice or missed entirely.",Expired bookings are never cancelled twice or missed entirely,"1. Every job acquires a Postgres advisory lock before running | 2. Given two instances start the same job, when the lock is held, then only one executes | 3. Each run writes name, start, end, processed count, failure count and errors to cron_job_logs | 4. A daily sweep catches anything the primary job missed",FR-REL-003,P1,P0,A,8,2026-10-19,Sprint 4,1.0,BNPL-008,To Do
BNPL-018,E03,Implement the audit log service,"As a administrator, I want every sensitive action recorded with before and after values, so that data changes can be traced and responsibility established.",Data changes can be traced and responsibility established,"1. Forced status changes, configuration changes, refunds, tier overrides and promotion overrides are all logged | 2. Each record captures actor, action, entity, before, after, IP address and timestamp | 3. Audit records cannot be updated or deleted through the API",FR-TRC-002,P1,P0,A,7,2026-10-12,Sprint 4,0.5,BNPL-010,To Do
BNPL-019,E03,Implement the unified error contract and request tracing,"As a frontend developer, I want a consistent error shape with a request identifier, so that I can branch on a code and trace an error back to a server log.",I can branch on a code and trace an error back to a server log,"1. All errors return code, message, request_id and optional details | 2. Given an error occurs, when it is logged, then the same request_id appears in the log and in the error tracker | 3. Clients never need to match on message text",NFR-MAIN-005,P1,P0,A,6,2026-10-05,Sprint 3,0.5,BNPL-005,To Do
BNPL-020,E04,Model operator organisations and staff membership,"As a operator manager, I want multiple staff accounts under my company, so that my counter staff can process bookings without sharing my login.",My counter staff can process bookings without sharing my login,"1. An operator organisation exists independently of any user account | 2. Given a manager invites a staff member, when they accept, then they can access only that operator's data | 3. Given a person is both a customer and operator staff, when they log in, then both identities work",FR-SEC-003,P1,P0,A,5,2026-09-28,Sprint 3,1.0,BNPL-010,To Do
BNPL-021,E04,Implement the token lifecycle with immediate revocation,"As a administrator, I want a disabled account to stop working immediately, so that suspending an operator actually suspends them.",Suspending an operator actually suspends them,"1. Access tokens last 60 minutes; refresh tokens last 7 days and are stored in the database | 2. Given an account is disabled, when its next request arrives, then it is rejected without waiting for token expiry | 3. Given a consumed refresh token is reused, when it is presented, then the whole token family is revoked",FR-ARCH-004,P1,P0,A,5,2026-09-28,Sprint 3,1.0,BNPL-020,To Do
BNPL-022,E04,Apply row-level security policies and prove isolation,"As a platform, I want tenant isolation enforced by the database, so that a coding mistake cannot expose one operator's data to another.",A coding mistake cannot expose one operator's data to another,"1. Policies are applied to every tenant-scoped table | 2. Given operator A calls the API for operator B's bookings, when the request is handled, then 403 is returned | 3. Given the Prisma middleware is bypassed and the tenant context is set to A, when B's rows are queried directly, then zero rows return | 4. Given no tenant context is set, when a query runs, then zero rows return",FR-SEC-002 / 10.2.4,P1,P0,A,6,2026-10-05,Sprint 3,1.0,BNPL-007,To Do
BNPL-023,E04,Add account security controls,"As a customer, I want my account protected against password guessing, so that someone cannot brute force their way into my bookings.",Someone cannot brute force their way into my bookings,1. Five consecutive failures lock the account for 15 minutes | 2. Unlocking requires email verification | 3. Password length and complexity are enforced at registration and change,FR-SEC-004,P1,P1,A,8,2026-10-19,Sprint 4,0.5,BNPL-021,To Do
BNPL-024,E05,Onboard operators to Stripe Connect,"As a operator, I want to connect my bank account so I get paid, so that money from my bookings reaches me automatically.",Money from my bookings reaches me automatically,"1. An operator can start Stripe Express onboarding from the back office | 2. Given onboarding is incomplete, when the operator views the dashboard, then the outstanding steps are shown | 3. Given onboarding completes, when Stripe confirms, then onboarding_status is updated via webhook",FR-FIN-001,P1,P0,A,7,2026-10-12,Sprint 4,1.0,BNPL-015,To Do
BNPL-025,E05,Write the commission ledger with both funding formulas,"As a platform, I want commission calculated correctly for operator-funded and platform-funded discounts, so that the ledger reconciles against Stripe line by line.",The ledger reconciles against Stripe line by line,"1. Given an operator-funded discount, when a payment succeeds, then fee_amount equals net_amount times fee_rate | 2. Given a platform-funded discount, when a payment succeeds, then the operator receives gross less commission and the platform margin may be negative | 3. fee_rate and funded_by are snapshotted onto the ledger entry at payment time | 4. stripe_fee_amount is stored separately and never folded into fee_amount | 5. All amounts are stored as integer sen",FR-FIN-002 / NFR-DATA-002,P1,P0,A,7,2026-10-12,Sprint 4,1.5,BNPL-024,To Do
BNPL-026,E05,Generate payouts for settleable bookings only,"As a operator, I want to be paid after the service is delivered, so that the platform is not exposed to chargebacks on money it has already released.",The platform is not exposed to chargebacks on money it has already released,"1. Only ledger entries whose booking reached completed or no_show and passed the appeal window are included | 2. Given a booking is refunded before payout, when the payout runs, then that entry is excluded | 3. A ledger entry can never appear in two payouts | 4. The payout job runs under the system database role, not a tenant context",FR-FIN-001,P1,P0,D,8,2026-10-19,Sprint 4,1.0,BNPL-025,To Do
BNPL-027,E05,Expose the operator settlement report,"As a operator, I want to see how each booking became my payout, so that I can verify the platform's arithmetic myself.",I can verify the platform's arithmetic myself,"1. Each line shows gross, discount, who funded it, commission, processing fee and net | 2. Payouts list their constituent bookings | 3. The report can be exported as CSV",FR-OP-006,P2,P1,D,8,2026-10-19,Sprint 4,1.0,BNPL-026,To Do
BNPL-028,E06,Compute credit profiles and resolve tiers,"As a platform, I want a customer's credit tier derived from their history, so that payment terms reflect actual reliability.",Payment terms reflect actual reliability,"1. A new customer defaults to Normal | 2. Given three successful on-time payments and no expiries, when recomputation runs, then the customer becomes Trusted | 3. Given two expired bookings, when recomputation runs, then the customer becomes Caution | 4. Counters are maintained incrementally from events, never by scanning the bookings table",FR-RISK-001 / FR-RISK-002,P1,P0,C,2,2026-09-07,Sprint 1,1.0,BNPL-010,To Do
BNPL-029,E06,Generate payment schedules from the credit tier,"As a customer, I want payment terms that match my standing, so that I know exactly what is due and when.",I know exactly what is due and when,"1. Given a Normal customer, when a booking is created, then one schedule entry is due in 24 hours | 2. Given a Caution customer, when a booking is created, then a 30 percent deposit is due in 12 hours and a 70 percent balance 24 hours before service start | 3. Given a High Risk customer, when a booking is created, then full prepayment is required immediately | 4. Given a booking reaches a terminal state, when it does, then outstanding entries are voided rather than deleted",FR-PAY-001,P1,P0,C,3,2026-09-14,Sprint 2,1.0,BNPL-028,To Do
BNPL-030,E06,Enforce the concurrent exposure cap,"As a operator, I want a limit on how many unpaid bookings one customer can hold, so that a new account cannot occupy my inventory across many bookings at once.",A new account cannot occupy my inventory across many bookings at once,"1. Limits are Normal 2, Trusted 5, Caution 1, High Risk 0, read from system settings | 2. The count runs inside the same transaction as the inventory reservation | 3. Given a Normal customer with two open unpaid bookings submits three more concurrently, when they are processed, then all three are refused | 4. A refusal returns a clear message and does not create a negative credit event",FR-RISK-005,P1,P0,C,4,2026-09-21,Sprint 2,0.5,BNPL-029,To Do
BNPL-031,E06,Implement no-show marking and terminal outcomes,"As a operator staff, I want to mark a customer as not appeared, so that I am compensated for inventory I held and the customer's record reflects it.",I am compensated for inventory I held and the customer's record reflects it,"1. Marking is only possible between service start and the end of no_show_window_hours | 2. A remark is mandatory | 3. Given a fully paid booking, when marked, then status is no_show, inventory is not released and the full net becomes settleable after the appeal window | 4. Given a deposit-paid booking with an unpaid balance, when marked, then status is no_show_unpaid, outstanding entries are voided, the deposit is forfeited to the operator and only the deposit becomes settleable",FR-RISK-003,P1,P0,C,5,2026-09-28,Sprint 3,1.0,BNPL-029,To Do
BNPL-032,E06,Record credit events and support appeals,"As a customer, I want to see why my tier changed and to dispute it, so that a mistaken no-show does not permanently damage my standing.",A mistaken no-show does not permanently damage my standing,"1. Every tier change writes an event with reason, actor and before and after tiers | 2. Given a customer appeals, when an administrator upholds it, then a reversing event is written and the tier is recomputed | 3. The original event is never modified or deleted | 4. The customer can view their own credit history",FR-RISK-004,P1,P0,C,5,2026-09-28,Sprint 3,1.0,BNPL-031,To Do
BNPL-033,E06,Run the payment expiry sweep,"As a operator, I want unpaid bookings cancelled automatically at their deadline, so that my inventory is released rather than held indefinitely.",My inventory is released rather than held indefinitely,"1. The job works from payment_schedules due dates, in Malaysia time | 2. Given a schedule entry passes its due date unpaid, when the sweep runs, then the booking expires, inventory is released and the customer is notified | 3. Given the job runs twice, when the advisory lock is held, then no booking is cancelled twice",FR-REL-003 / FR-PAY-001,P1,P0,C,4,2026-09-21,Sprint 2,0.5,BNPL-029,To Do
BNPL-034,E07,Create and manage car rental listings,"As a operator staff, I want to publish a vehicle with its specifications and rules, so that customers can find and understand what they are booking.",Customers can find and understand what they are booking,"1. Vehicle type, seats, transmission, luggage capacity and description are structured fields | 2. Pickup and return rules and insurance notes are captured | 3. Given a listing is incomplete, when publishing is attempted, then the missing required fields are named | 4. Given a listing is unpublished, when a customer searches, then it does not appear",FR-LIST-001,P1,P0,B,2,2026-09-07,Sprint 1,1.5,BNPL-010,To Do
BNPL-035,E07,Create and manage tour package listings,"As a operator staff, I want to publish a tour with its itinerary and inclusions, so that customers understand what the package covers before booking.",Customers understand what the package covers before booking,"1. Duration, highlights, daily itinerary, inclusions, exclusions, meeting point and maximum group size are captured | 2. Given a tour has a maximum group size, when a customer books more places than remain, then the booking is refused",FR-LIST-001,P1,P0,B,3,2026-09-14,Sprint 2,1.0,BNPL-034,To Do
BNPL-036,E07,Upload and order listing images,"As a operator staff, I want to upload photographs and choose the main one, so that my listing looks credible to a customer who has never heard of my company.",My listing looks credible to a customer who has never heard of my company,"1. Multiple images upload to the public Spaces bucket | 2. Images can be reordered and one set as primary | 3. Given a file exceeds the size limit or is not an image, when uploaded, then it is rejected with a clear message",FR-LIST-001,P1,P0,B,3,2026-09-14,Sprint 2,1.0,BNPL-003,To Do
BNPL-037,E07,Build the pricing rule engine,"As a operator, I want weekend, holiday and seasonal pricing, so that I can charge what the market bears without editing every listing daily.",I can charge what the market bears without editing every listing daily,"1. Rules support date range and weekday mask, with fixed or percentage adjustment | 2. Given multiple rules apply, when price is calculated, then they combine by priority | 3. Given a date range is selected, when the operator previews, then the resulting nightly prices are shown | 4. The same calculation runs server side at booking time; the client never supplies the price",FR-LIST-002,P1,P0,B,4,2026-09-21,Sprint 2,1.5,BNPL-034,To Do
BNPL-038,E07,Configure add-on services,"As a operator staff, I want to offer extras such as a child seat or airport transfer, so that I can increase revenue per booking.",I can increase revenue per booking,"1. Add-ons carry a name, description and unit price | 2. Given a customer selects add-ons, when the total is computed, then add-ons are included in gross_amount and therefore in the commission base",FR-LIST-003,P1,P1,B,6,2026-10-05,Sprint 3,0.5,BNPL-034,To Do
BNPL-039,E07,Manage locations and link them to listings,"As a operator, I want a library of pickup and meeting points reused across listings, so that I do not retype the same address on every listing.",I do not retype the same address on every listing,"1. Locations carry name, address, coordinates and type | 2. A listing can be linked to several locations with a role of pickup, dropoff or meeting point | 3. Given a customer books, when they choose a pickup point, then it is stored on the booking",FR-LIST-004,P1,P0,B,5,2026-09-28,Sprint 3,1.0,BNPL-034,To Do
BNPL-040,E07,Build search and structured filtering,"As a customer, I want to filter by the things I actually care about, so that I can find a seven-seat automatic in Kuching without scrolling through everything.",I can find a seven-seat automatic in Kuching without scrolling through everything,"1. Full-text search across title, description and destination using tsvector with a GIN index | 2. Car filters: vehicle type, price range, seats, transmission, pickup location, operator | 3. Tour filters: destination, duration, departure date, price range, group size | 4. Given dates are supplied, when results are returned, then only listings with availability across the whole range appear",FR-CUST-002,P1,P0,B,5,2026-09-28,Sprint 3,1.5,BNPL-013,To Do
BNPL-041,E07,Configure cancellation policies,"As a operator, I want tiered refund rules by how far ahead the customer cancels, so that refund amounts are calculated rather than argued about.",Refund amounts are calculated rather than argued about,"1. Policies define hours before service and refund percentage, with priority | 2. Resolution order is listing, then operator, then system default | 3. Given a customer cancels, when the refund is computed, then the applicable tier is shown with the amount",FR-OP-005,P1,P1,C,6,2026-10-05,Sprint 3,0.5,BNPL-034,To Do
BNPL-042,E08,Manage daily availability,"As a operator staff, I want to set how many units are sellable each day and block dates, so that I do not accept bookings for vehicles that are already out.",I do not accept bookings for vehicles that are already out,"1. Daily quantity can be set for a listing across a date range | 2. A date can be blocked without deleting its row | 3. Given a date is blocked, when a customer searches, then it is unavailable",FR-INV-001,P1,P0,B,2,2026-09-07,Sprint 1,1.0,BNPL-013,To Do
BNPL-043,E08,Implement range-atomic inventory reservation,"As a platform, I want a multi-day booking to reserve every day or none, so that two customers can never be sold the same vehicle for overlapping dates.",Two customers can never be sold the same vehicle for overlapping dates,"1. Reservation is a single ranged UPDATE with a row-count assertion | 2. Given the affected row count is fewer than the number of days, when the check runs, then the transaction rolls back and the booking is refused | 3. Given a date has no availability row, when reservation is attempted, then it is treated as unavailable | 4. Reservation runs in the same transaction as the exposure check and the booking insert",FR-INV-001,P1,P0,B,4,2026-09-21,Sprint 2,1.5,BNPL-042,To Do
BNPL-044,E08,Release inventory on cancellation and expiry,"As a operator, I want inventory returned when a booking falls through, so that a lapsed booking does not block a real one.",A lapsed booking does not block a real one,"1. Cancellation, expiry, rejection and refusal release the quantity across the same date range | 2. Given a booking is marked no_show, when it terminates, then inventory is not released | 3. Release is idempotent so a repeated event does not over-credit inventory",FR-INV-001,P1,P0,B,5,2026-09-28,Sprint 3,0.5,BNPL-043,To Do
BNPL-045,E08,Prove no overselling under concurrency,"As a team lead, I want test evidence that the inventory guarantee holds, so that we can defend the claim at the project viva.",We can defend the claim at the project viva,1. 50 concurrent bookings against one remaining unit produce exactly one success | 2. Two overlapping five-day bookings against one unit produce exactly one success with no partial reservation | 3. 30 concurrent overlapping bookings complete with no deadlock | 4. Results are captured as a report artefact,10.2.1 / 10.2.2,P3,P0,B,6,2026-10-05,Sprint 3,1.0,BNPL-043,To Do
BNPL-046,E09,Build the booking creation orchestrator,"As a customer, I want to complete a booking in one step, so that I get a confirmed booking and a clear payment schedule.",I get a confirmed booking and a clear payment schedule,"1. Price, promotion and tier lookups happen before the transaction opens | 2. Exposure check, inventory reservation, booking insert, schedule creation and notification enqueue are one transaction | 3. Given any step fails, when the transaction rolls back, then no inventory is held and no booking exists | 4. The response returns the booking reference and the full payment schedule",FR-CUST-004,P1,P0,C,4,2026-09-21,Sprint 2,1.5,BNPL-043,To Do
BNPL-047,E09,Implement the booking status lifecycle,"As a operator, I want bookings that move through defined states with a full history, so that disputes can be resolved by looking at the record.",Disputes can be resolved by looking at the record,"1. Every transition writes a history record with actor, old state, new state and remark | 2. Invalid transitions are rejected | 3. Terminal states are completed, cancelled, expired, no_show, no_show_unpaid and rejected",FR-TRC-001,P1,P0,C,3,2026-09-14,Sprint 2,1.0,BNPL-046,To Do
BNPL-048,E09,Handle cancellation and refund calculation,"As a customer, I want to cancel and know what I get back, so that I am not surprised by the refund amount.",I am not surprised by the refund amount,"1. The applicable cancellation policy tier is resolved and the refund amount shown before confirming | 2. Given a refund is issued, when it is processed, then a refund record is created and the commission ledger is adjusted | 3. Partial and repeated refunds against one payment are supported",FR-TRC-004 / FR-OP-005,P1,P0,C,5,2026-09-28,Sprint 3,1.0,BNPL-047,To Do
BNPL-049,E09,Provide operator order actions,"As a operator staff, I want to accept, reject or propose an alternative, individually or in bulk, so that I can clear a morning's bookings quickly.",I can clear a morning's bookings quickly,"1. Bookings can be accepted or rejected with an optional note | 2. Given several bookings are selected, when a bulk action is applied, then each is processed independently and failures are reported per booking | 3. Rejection releases inventory and notifies the customer",FR-OP-002,P1,P0,C,6,2026-10-05,Sprint 3,1.0,BNPL-047,To Do
BNPL-050,E09,Validate and redeem promotion codes,"As a customer, I want to apply a discount code at checkout, so that I benefit from a campaign I was sent.",I benefit from a campaign I was sent,"1. Code validity, date window, minimum spend and usage limit are checked at booking time | 2. A redemption record is created inside the booking transaction, one per booking | 3. Given a platform-funded code, when the ledger is written, then the operator is made whole and the platform absorbs the discount",FR-MKT-001,P1,P1,C,6,2026-10-05,Sprint 3,1.0,BNPL-046,To Do
BNPL-051,E09,Capture channel attribution,"As a marketing owner, I want to know which channel produced a booking, so that we can tell what marketing spend actually worked.",We can tell what marketing spend actually worked,"1. UTM source, medium and campaign are captured on the booking when present | 2. Channel is recorded as web, mobile or WhatsApp | 3. Attribution is queryable in the admin reporting view",FR-MKT-002,P1,P1,C,5,2026-09-28,Sprint 3,0.5,BNPL-046,To Do
BNPL-052,E10,Build the rule engine layer,"As a customer, I want instant answers to common questions, so that I do not wait for a human to tell me my payment deadline.",I do not wait for a human to tell me my payment deadline,"1. Quick action menu covers booking status, payment schedule, cancellation policy, credit tier and receipt upload | 2. Given a question matches a rule, when it is handled, then no LLM call is made | 3. Rule responses are configurable without a code change",FR-CHAT-002,P1,P1,D,3,2026-09-14,Sprint 2,1.5,BNPL-010,To Do
BNPL-053,E10,Add the LLM fallback with a circuit breaker,"As a customer, I want a useful answer to a question the rules do not cover, so that I am not stuck when my question is slightly unusual.",I am not stuck when my question is slightly unusual,"1. Claude is called with only the signed-in user's own booking context, enforced at the query layer | 2. Given the call exceeds 5 seconds, when it times out, then the rule engine responds instead | 3. Given ten consecutive failures, when the circuit opens, then no LLM calls are made for 10 minutes | 4. No identity document content is ever sent to the model",FR-CHAT-003 / NFR-RES-001,P1,P1,D,4,2026-09-21,Sprint 2,1.5,BNPL-052,To Do
BNPL-054,E10,Persist conversations and escalate to a human,"As a operator staff, I want to see and answer customer questions the bot could not handle, so that a customer problem does not disappear.",A customer problem does not disappear,"1. All messages are persisted with read state | 2. Given the bot cannot resolve a question, when it escalates, then a ticket is created and the operator is notified | 3. The operator can reply from the back office and the customer sees it",FR-CHAT-004,P1,P1,D,4,2026-09-21,Sprint 2,2.0,BNPL-053,To Do
BNPL-055,E11,Build authentication and profile screens,"As a customer, I want to register, sign in and manage my details, so that I can use the platform and keep my information current.",I can use the platform and keep my information current,"1. Register, sign in, forgot password and change password all work | 2. Consent to the privacy policy and terms is captured with timestamp and IP at registration | 3. Identity documents upload to the private bucket and show verification status",FR-CUST-006 / FR-COMP-001,P2,P0,B,6,2026-10-05,Sprint 3,1.0,BNPL-021,To Do
BNPL-056,E11,Build the home page and search entry,"As a customer, I want to start a search from the first screen, so that I can find what I need without learning the site.",I can find what I need without learning the site,"1. Search bar covers business type, destination or pickup point, dates and party size | 2. Category entry points for car rental and tours | 3. Featured listings render from seeded content while content management is deferred",FR-CUST-001,P2,P0,B,6,2026-10-05,Sprint 3,1.0,BNPL-040,To Do
BNPL-057,E11,Build search results and filtering,"As a customer, I want to narrow results to what suits me, so that I do not have to open twenty listings to compare.",I do not have to open twenty listings to compare,"1. All filters from BNPL-040 are available and combine | 2. Sorting by price, newest and popularity works; rating sort appears only when the review flag is on | 3. Given no results, when the page renders, then it suggests relaxing a filter rather than showing a blank page",FR-CUST-002,P2,P0,B,7,2026-10-12,Sprint 4,1.5,BNPL-056,To Do
BNPL-058,E11,Build the listing detail page,"As a customer, I want to see everything about a package before I commit, so that I know what is included and what happens if I cancel.",I know what is included and what happens if I cancel,"1. Image carousel, specifications, itinerary, pricing rules, cancellation policy and operator information all render | 2. Add-ons are selectable and update the displayed total | 3. The review section renders only when the review display flag is enabled",FR-CUST-003,P2,P0,B,7,2026-10-12,Sprint 4,1.5,BNPL-057,To Do
BNPL-059,E11,Build the booking and payment flow,"As a customer, I want to book and pay with the terms shown clearly, so that I am never surprised by a second deadline.",I am never surprised by a second deadline,"1. Date and party selection, add-ons, contact details, summary and terms acceptance | 2. The full payment schedule with every due date and a countdown is shown before submission | 3. The customer's credit tier and what it means is explained on the payment page | 4. Given the exposure cap is reached, when the customer opens the flow, then this is explained before they fill the form",FR-CUST-004 / FR-CUST-005,P2,P0,B,8,2026-10-19,Sprint 4,2.0,BNPL-046,To Do
BNPL-060,E11,Build the personal centre,"As a customer, I want to see my bookings, payments and credit record, so that I can manage what I have booked and understand my standing.",I can manage what I have booked and understand my standing,1. Bookings list with status filter and detail view | 2. Cancellation request and no-show appeal entry points | 3. Credit record shows current tier and the reason for each change | 4. Notification centre and receipt download,FR-CUST-006,P2,P0,B,8,2026-10-19,Sprint 4,1.5,BNPL-059,To Do
